Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",46.000000,-12.000000,0.000000,bottom
"C2","100n","C_0402_1005Metric",44.600000,-10.900000,0.000000,bottom
"C3","100n","C_0402_1005Metric",49.800000,-9.800000,0.000000,bottom
"C4","100n","C_0402_1005Metric",48.200000,-22.400000,0.000000,bottom
"C5","100n","C_0402_1005Metric",49.400000,-23.600000,0.000000,bottom
"C6","100n","C_0402_1005Metric",31.600000,-22.400000,90.000000,bottom
"C7","100n","C_0402_1005Metric",48.800000,-20.400000,0.000000,bottom
"C8","100n","C_0402_1005Metric",33.800000,-22.900000,90.000000,bottom
"C9","100n","C_0402_1005Metric",65.300000,-14.500000,0.000000,bottom
"C10","100n","C_0402_1005Metric",57.000000,-10.000000,90.000000,bottom
"C11","1u","C_0402_1005Metric",47.000000,-13.200000,0.000000,bottom
"C12","1u","C_0402_1005Metric",50.600000,-21.400000,0.000000,bottom
"C13","100n","C_0402_1005Metric",57.500000,-21.500000,0.000000,bottom
"C14","1u","C_0402_1005Metric",3.961022,-32.502562,0.000000,bottom
"C15","1u","C_0402_1005Metric",23.000000,-28.000000,0.000000,bottom
"C16","10u","C_0805_2012Metric",8.372881,-34.585018,0.000000,bottom
"C17","10u","C_0805_2012Metric",22.937443,-34.579572,0.000000,bottom
"C18","15p","C_0402_1005Metric",31.000000,-17.200000,0.000000,bottom
"C19","15p","C_0402_1005Metric",31.000000,-19.600000,0.000000,bottom
"C20","100n","C_0402_1005Metric",12.000000,-42.600000,0.000000,bottom
"C21","100n","C_0402_1005Metric",14.500000,-42.600000,0.000000,bottom
"C22","100n","C_0402_1005Metric",31.000000,-84.350000,0.000000,bottom
"C23","100n","C_0402_1005Metric",63.500000,-22.500000,0.000000,bottom
"C24","100n","C_0402_1005Metric",73.500000,-22.500000,0.000000,bottom
"C26","100n","C_0402_1005Metric",14.045944,-38.654423,0.000000,bottom
"C27","100n","C_0402_1005Metric",33.095944,-38.654423,0.000000,bottom
"C28","100n","C_0402_1005Metric",52.145944,-38.654423,0.000000,bottom
"C29","100n","C_0402_1005Metric",71.195944,-38.654423,0.000000,bottom
"C30","100n","C_0402_1005Metric",14.045944,-57.704423,0.000000,bottom
"C31","100n","C_0402_1005Metric",33.095944,-57.704423,0.000000,bottom
"C32","100n","C_0402_1005Metric",52.145944,-57.704423,0.000000,bottom
"C33","100n","C_0402_1005Metric",71.195944,-57.704423,0.000000,bottom
"C34","100n","C_0402_1005Metric",19.025000,-73.800000,0.000000,bottom
"C35","100n","C_0402_1005Metric",33.095944,-76.754422,0.000000,bottom
"C36","100n","C_0402_1005Metric",52.145944,-76.754422,0.000000,bottom
"C37","100n","C_0402_1005Metric",71.195944,-76.754422,0.000000,bottom
"C38","100n","C_0402_1005Metric",42.620944,-95.804423,0.000000,bottom
"C39","100n","C_0402_1005Metric",19.025000,-79.350000,0.000000,bottom
"C40","100n","C_0402_1005Metric",32.058000,-4.134000,0.000000,bottom
"C41","100n","C_0402_1005Metric",52.058000,-4.134000,0.000000,bottom
"C42","100n","C_0402_1005Metric",78.585786,-34.764213,0.000000,bottom
"C43","100n","C_0402_1005Metric",78.590461,-53.863030,0.000000,bottom
"C44","100n","C_0402_1005Metric",80.772542,-72.727640,0.000000,bottom
"C45","100n","C_0402_1005Metric",65.932705,-92.346335,0.000000,bottom
"C46","100n","C_0402_1005Metric",19.203000,-94.100000,0.000000,bottom
"C47","100n","C_0402_1005Metric",6.500000,-79.350000,0.000000,bottom
"C48","100n","C_0402_1005Metric",6.500000,-60.350000,0.000000,bottom
"C49","100n","C_0402_1005Metric",6.500000,-41.350000,0.000000,bottom
"F1","750mA","Fuse_1812_4532Metric",57.200000,-6.600000,0.000000,bottom
"FB1","600R@100MHz","L_0402_1005Metric",64.000000,-15.000000,0.000000,bottom
"J1","USB-C","USB_C_Receptacle_HRO_TYPE-C-31-M-12",42.100000,-3.050000,0.000000,bottom
"JS1","YA13-FL7.4-B5Ka","YA13-FL7.4-B5Ka_C37323742",69.710000,-13.370000,180.000000,top
"LED1","SK6812MINI-E","LED_6028R",13.525000,-35.700000,0.000000,bottom
"LED2","SK6812MINI-E","LED_6028R",32.575000,-35.700000,0.000000,bottom
"LED3","SK6812MINI-E","LED_6028R",51.625000,-35.700000,0.000000,bottom
"LED4","SK6812MINI-E","LED_6028R",70.675000,-35.700000,0.000000,bottom
"LED5","SK6812MINI-E","LED_6028R",13.525000,-54.750000,0.000000,bottom
"LED6","SK6812MINI-E","LED_6028R",32.575000,-54.750000,0.000000,bottom
"LED7","SK6812MINI-E","LED_6028R",51.625000,-54.750000,0.000000,bottom
"LED8","SK6812MINI-E","LED_6028R",70.675000,-54.750000,0.000000,bottom
"LED9","SK6812MINI-E","LED_6028R",13.525000,-73.800000,0.000000,bottom
"LED10","SK6812MINI-E","LED_6028R",32.575000,-73.800000,0.000000,bottom
"LED11","SK6812MINI-E","LED_6028R",51.625000,-73.800000,0.000000,bottom
"LED12","SK6812MINI-E","LED_6028R",70.675000,-73.800000,0.000000,bottom
"LED13","SK6812MINI-E","LED_6028R",42.100000,-92.850000,0.000000,bottom
"LED14","SK6812MINI-E","LED_6028R",13.525000,-79.350000,0.000000,bottom
"LED15","SK6812-SIDE","LED_WS2812_4020",32.000000,-5.000000,180.000000,bottom
"LED16","SK6812-SIDE","LED_WS2812_4020",52.000000,-5.000000,180.000000,bottom
"LED17","SK6812-SIDE","LED_WS2812_4020",80.000000,-33.350000,-90.000000,bottom
"LED18","SK6812-SIDE","LED_WS2812_4020",80.000000,-53.350000,-90.000000,bottom
"LED19","SK6812-SIDE","LED_WS2812_4020",80.000000,-70.350000,-90.000000,bottom
"LED20","SK6812-SIDE","LED_WS2812_4020",65.694952,-94.374007,0.000000,bottom
"LED21","SK6812-SIDE","LED_WS2812_4020",18.300000,-96.300000,0.000000,bottom
"LED22","SK6812-SIDE","LED_WS2812_4020",5.000000,-79.350000,90.000000,bottom
"LED23","SK6812-SIDE","LED_WS2812_4020",5.000000,-60.350000,90.000000,bottom
"LED24","SK6812-SIDE","LED_WS2812_4020",5.000000,-41.350000,90.000000,bottom
"R1","5.1k","R_0402_1005Metric",52.500000,-2.600000,90.000000,bottom
"R2","5.1k","R_0402_1005Metric",53.600000,-2.600000,90.000000,bottom
"R3","27","R_0402_1005Metric",50.000000,-12.000000,90.000000,bottom
"R4","27","R_0402_1005Metric",48.700000,-12.000000,90.000000,bottom
"R5","1k","R_0402_1005Metric",34.300000,-21.200000,0.000000,bottom
"R6","1k","R_0402_1005Metric",52.500000,-22.500000,0.000000,bottom
"R7","10k","R_0402_1005Metric",72.500000,-82.500000,0.000000,bottom
"R8","4.7k","R_0402_1005Metric",38.600000,-10.900000,0.000000,bottom
"R9","4.7k","R_0402_1005Metric",40.600000,-10.900000,0.000000,bottom
"R10","0R","R_0402_1005Metric",32.000000,-88.850000,0.000000,bottom
"R11","1k","R_0402_1005Metric",66.500000,-22.500000,0.000000,bottom
"R12","1k","R_0402_1005Metric",70.500000,-22.500000,0.000000,bottom
"SW1","MX_Hotswap","SW_MX_HS_CPG151101S11_1u",13.525000,-31.700000,180.000000,bottom
"SW2","MX_Hotswap","SW_MX_HS_CPG151101S11_1u",32.575000,-31.700000,180.000000,bottom
"SW3","MX_Hotswap","SW_MX_HS_CPG151101S11_1u",51.625000,-31.700000,180.000000,bottom
"SW4","MX_Hotswap","SW_MX_HS_CPG151101S11_1u",70.675000,-31.700000,180.000000,bottom
"SW5","MX_Hotswap","SW_MX_HS_CPG151101S11_1u",13.525000,-50.750000,180.000000,bottom
"SW6","MX_Hotswap","SW_MX_HS_CPG151101S11_1u",32.575000,-50.750000,180.000000,bottom
"SW7","MX_Hotswap","SW_MX_HS_CPG151101S11_1u",51.625000,-50.750000,180.000000,bottom
"SW8","MX_Hotswap","SW_MX_HS_CPG151101S11_1u",70.675000,-50.750000,180.000000,bottom
"SW9","MX_Hotswap","SW_MX_HS_CPG151101S11_1u",13.525000,-69.800000,180.000000,bottom
"SW10","MX_Hotswap","SW_MX_HS_CPG151101S11_1u",32.575000,-69.800000,180.000000,bottom
"SW11","MX_Hotswap","SW_MX_HS_CPG151101S11_1u",51.625000,-69.800000,180.000000,bottom
"SW12","MX_Hotswap","SW_MX_HS_CPG151101S11_1u",70.675000,-69.800000,180.000000,bottom
"SW13","MX_Hotswap","SW_MX_HS_CPG151101S11_1u",42.100000,-88.850000,180.000000,bottom
"SW14","BOOT","SW_SPST_PTS645Sx43SMTR92",64.000000,-88.850000,0.000000,bottom
"SW15","RESET","SW_SPST_PTS645Sx43SMTR92",72.500000,-88.300000,90.000000,bottom
"U1","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",42.100000,-16.500000,90.000000,bottom
"U2","W25Q128JVSIQ","SOIC-8_5.3x5.3mm_P1.27mm",54.000000,-16.500000,90.000000,bottom
"U3","AP2112K-3.3","SOT-23-5",5.437208,-23.006364,90.000000,bottom
"U4","USBLC6-2SC6","SOT-23-6",47.200000,-9.200000,90.000000,bottom
"U5","SN74LVC1T45","SOT-23-6",12.000000,-40.000000,90.000000,bottom
"U6","TTP223","SOT-23-6",27.000000,-88.850000,0.000000,bottom
"Y1","12MHz ABM8-272-T3","Crystal_SMD_3225-4Pin_3.2x2.5mm",34.000000,-18.400000,0.000000,bottom
